"""Month"",""Index"""
"1987 MAY,""71.2"""
"1987 JUN,""71.0"""
"1987 JUL,""72.2"""
"1987 AUG,""72.0"""
"1987 SEP,""71.5"""
"1987 OCT,""72.4"""
"1987 NOV,""72.3"""
"1987 DEC,""73.0"""
"1988 JAN,""73.7"""
"1988 FEB,""72.8"""
"1988 MAR,""74.0"""
"1988 APR,""73.4"""
"1988 MAY,""74.2"""
"1988 JUN,""74.5"""
"1988 JUL,""74.9"""
"1988 AUG,""75.6"""
"1988 SEP,""76.4"""
"1988 OCT,""75.5"""
"1988 NOV,""76.3"""
"1988 DEC,""75.8"""
"1989 JAN,""76.2"""
"1989 FEB,""76.4"""
"1989 MAR,""75.4"""
"1989 APR,""77.3"""
"1989 MAY,""75.3"""
"1989 JUN,""75.3"""
"1989 JUL,""75.5"""
"1989 AUG,""77.1"""
"1989 SEP,""76.7"""
"1989 OCT,""76.3"""
"1989 NOV,""76.9"""
"1989 DEC,""76.8"""
"1990 JAN,""76.0"""
"1990 FEB,""75.6"""
"1990 MAR,""76.9"""
"1990 APR,""77.7"""
"1990 MAY,""77.5"""
"1990 JUN,""78.8"""
"1990 JUL,""76.9"""
"1990 AUG,""77.1"""
"1990 SEP,""76.7"""
"1990 OCT,""76.5"""
"1990 NOV,""76.1"""
"1990 DEC,""75.7"""
"1991 JAN,""75.5"""
"1991 FEB,""75.5"""
"1991 MAR,""74.8"""
"1991 APR,""74.0"""
"1991 MAY,""74.9"""
"1991 JUN,""75.1"""
"1991 JUL,""74.4"""
"1991 AUG,""73.6"""
"1991 SEP,""73.7"""
"1991 OCT,""74.7"""
"1991 NOV,""74.9"""
"1991 DEC,""74.6"""
"1992 JAN,""74.5"""
"1992 FEB,""74.9"""
"1992 MAR,""74.6"""
"1992 APR,""75.1"""
"1992 MAY,""73.5"""
"1992 JUN,""74.3"""
"1992 JUL,""75.1"""
"1992 AUG,""75.0"""
"1992 SEP,""75.6"""
"1992 OCT,""76.5"""
"1992 NOV,""75.5"""
"1992 DEC,""75.4"""
"1993 JAN,""75.3"""
"1993 FEB,""76.3"""
"1993 MAR,""75.6"""
"1993 APR,""75.8"""
"1993 MAY,""76.4"""
"1993 JUN,""76.0"""
"1993 JUL,""76.7"""
"1993 AUG,""77.0"""
"1993 SEP,""77.4"""
"1993 OCT,""77.9"""
"1993 NOV,""78.6"""
"1993 DEC,""78.6"""
"1994 JAN,""78.7"""
"1994 FEB,""78.7"""
"1994 MAR,""78.9"""
"1994 APR,""80.0"""
"1994 MAY,""81.0"""
"1994 JUN,""80.2"""
"1994 JUL,""80.7"""
"1994 AUG,""81.0"""
"1994 SEP,""81.8"""
"1994 OCT,""81.9"""
"1994 NOV,""81.8"""
"1994 DEC,""82.6"""
"1995 JAN,""81.1"""
"1995 FEB,""81.2"""
"1995 MAR,""81.6"""
"1995 APR,""82.4"""
"1995 MAY,""82.3"""
"1995 JUN,""81.9"""
"1995 JUL,""82.3"""
"1995 AUG,""82.4"""
"1995 SEP,""82.7"""
"1995 OCT,""82.4"""
"1995 NOV,""82.8"""
"1995 DEC,""83.3"""
"1996 JAN,""83.0"""
"1996 FEB,""83.6"""
"1996 MAR,""83.7"""
"1996 APR,""82.8"""
"1996 MAY,""83.4"""
"1996 JUN,""82.9"""
"1996 JUL,""82.9"""
"1996 AUG,""83.5"""
"1996 SEP,""84.0"""
"1996 OCT,""83.9"""
"1996 NOV,""84.5"""
"1996 DEC,""85.2"""
"1997 JAN,""85.7"""
"1997 FEB,""85.8"""
"1997 MAR,""84.5"""
"1997 APR,""86.5"""
"1997 MAY,""85.8"""
"1997 JUN,""86.1"""
"1997 JUL,""87.7"""
"1997 AUG,""86.5"""
"1997 SEP,""87.1"""
